states,respondents
California,1119
Texas,297
Other,291
Washington,278
New York,277
Illinois,236
Colorado,235
Oregon,164
Utah,146
Georgia,143
Minnesota,132
Pennsylvania,121
Oklahoma,117
Florida,105
Michigan,95
Ohio,89
Missouri,76
Wisconsin,74
Massachusetts,73
Washington D.C.,69
Virginia,57
Arizona,57
Connecticut,53
Tennessee,53
Nebraska,47
North Carolina,46
Montana,45
Indiana,42
South Carolina,40
Kansas,39
Idaho,36
New Hampshire,36
Maryland,34
Alabama,32
New Jersey,28
Nevada,28
Hawaii,25
Arkansas,25
Maine,22
Alaska,19
Kentucky,17
Iowa,17
New Mexico,16
Louisiana,11
Vermont,8
Wyoming,7
Rhode Island,5
Mississippi,4
North Dakota,4
Puerto Rico,4
South Dakota,3
Delaware,3
West Virginia,2
Virgin Islands,1

